"ID","DPTO","PROV","DIST","NOMBRE"
"153","02","07","02","SAN NICOLAS"
"154","02","07","03","YAUYA"
"155","02","08","00","CASMA"
"156","02","08","01","CASMA"
"157","02","08","02","BUENA VISTA ALTA"
"158","02","08","03","COMANDANTE NOEL"
"159","02","08","04","YAUTAN"
"160","02","09","00","CORONGO"
"161","02","09","01","CORONGO"
"162","02","09","02","ACO"
"163","02","09","03","BAMBAS"
"164","02","09","04","CUSCA"
"165","02","09","05","LA PAMPA"
"166","02","09","06","YANAC"
"167","02","09","07","YUPAN"
"168","02","10","00","HUARI"
"169","02","10","01","HUARI"
"170","02","10","02","ANRA"
"171","02","10","03","CAJAY"
"172","02","10","04","CHAVIN DE HUANTAR"
"173","02","10","05","HUACACHI"
"174","02","10","06","HUACCHIS"
"175","02","10","07","HUACHIS"
"176","02","10","08","HUANTAR"
"177","02","10","09","MASIN"
"178","02","10","10","PAUCAS"
"179","02","10","11","PONTO"
"180","02","10","12","RAHUAPAMPA"
"181","02","10","13","RAPAYAN"
"182","02","10","14","SAN MARCOS"
"183","02","10","15","SAN PEDRO DE CHANA"
"184","02","10","16","UCO"
"185","02","11","00","HUARMEY"
"186","02","11","01","HUARMEY"
"187","02","11","02","COCHAPETI"
"188","02","11","03","CULEBRAS"
"189","02","11","04","HUAYAN"
"190","02","11","05","MALVAS"
"191","02","12","00","HUAYLAS"
"192","02","12","01","CARAZ"
"193","02","12","02","HUALLANCA"
"194","02","12","03","HUATA"
"195","02","12","04","HUAYLAS"
"196","02","12","05","MATO"
"197","02","12","06","PAMPAROMAS"
"198","02","12","07","PUEBLO LIBRE"
"199","02","12","08","SANTA CRUZ"
"200","02","12","09","SANTO TORIBIO"
"201","02","12","10","YURACMARCA"
"202","02","13","00","MARISCAL LUZURIAGA"
"203","02","13","01","PISCOBAMBA"
"204","02","13","02","CASCA"
"205","02","13","03","ELEAZAR GUZMAN BARRON"
"206","02","13","04","FIDEL OLIVAS ESCUDERO"
"207","02","13","05","LLAMA"
"208","02","13","06","LLUMPA"
"209","02","13","07","LUCMA"
"210","02","13","08","MUSGA"
"211","02","14","00","OCROS"
"212","02","14","01","OCROS"
"213","02","14","02","ACAS"
"214","02","14","03","CAJAMARQUILLA"
"215","02","14","04","CARHUAPAMPA"
"216","02","14","05","COCHAS"
"217","02","14","06","CONGAS"
"218","02","14","07","LLIPA"
"219","02","14","08","SAN CRISTOBAL DE RAJAN"
"220","02","14","09","SAN PEDRO"
"221","02","14","10","SANTIAGO DE CHILCAS"
"222","02","15","00","PALLASCA"
"223","02","15","01","CABANA"
"224","02","15","02","BOLOGNESI"
"225","02","15","03","CONCHUCOS"
"226","02","15","04","HUACASCHUQUE"
"227","02","15","05","HUANDOVAL"
"228","02","15","06","LACABAMBA"
"229","02","15","07","LLAPO"
"230","02","15","08","PALLASCA"
"231","02","15","09","PAMPAS"
"232","02","15","10","SANTA ROSA"
"233","02","15","11","TAUCA"
"234","02","16","00","POMABAMBA"
"235","02","16","01","POMABAMBA"
"236","02","16","02","HUAYLLAN"
"237","02","16","03","PAROBAMBA"
"238","02","16","04","QUINUABAMBA"
"239","02","17","00","RECUAY"
"240","02","17","01","RECUAY"
"241","02","17","02","CATAC"
"242","02","17","03","COTAPARACO"
"243","02","17","04","HUAYLLAPAMPA"
"244","02","17","05","LLACLLIN"
"245","02","17","06","MARCA"
"246","02","17","07","PAMPAS CHICO"
"247","02","17","08","PARARIN"
"248","02","17","09","TAPACOCHA"
"249","02","17","10","TICAPAMPA"
"250","02","18","00","SANTA"
"251","02","18","01","CHIMBOTE"
"252","02","18","02","CACERES DEL PERU"
"253","02","18","03","COISHCO"
"254","02","18","04","MACATE"
"255","02","18","05","MORO"
"256","02","18","06","NEPE¿"
"257","02","18","07","SAMANCO"
"258","02","18","08","SANTA"
"259","02","18","09","NUEVO CHIMBOTE"
"260","02","19","00","SIHUAS"
"261","02","19","01","SIHUAS"
"262","02","19","02","ACOBAMBA"
"263","02","19","03","ALFONSO UGARTE"
"264","02","19","04","CASHAPAMPA"
"265","02","19","05","CHINGALPO"
"266","02","19","06","HUAYLLABAMBA"
"267","02","19","07","QUICHES"
"1039","10","07","01","HUACRACHUCO"
"1040","10","07","02","CHOLON"
"1041","10","07","03","SAN BUENAVENTURA"
"1042","10","08","00","PACHITEA"
"1043","10","08","01","PANAO"
"1044","10","08","02","CHAGLLA"
"1045","10","08","03","MOLINO"
"1046","10","08","04","UMARI"
"1047","10","09","00","PUERTO INCA"
"1048","10","09","01","PUERTO INCA"
"1049","10","09","02","CODO DEL POZUZO"
"1050","10","09","03","HONORIA"
"1051","10","09","04","TOURNAVISTA"
"1052","10","09","05","YUYAPICHIS"
"1053","10","10","00","LAURICOCHA"
"1054","10","10","01","JESUS"
"1055","10","10","02","BA¿S"
"1056","10","10","03","JIVIA"
"1057","10","10","04","QUEROPALCA"
"1058","10","10","05","RONDOS"
"1059","10","10","06","SAN FRANCISCO DE ASIS"
"1060","10","10","07","SAN MIGUEL DE CAURI"
"1061","10","11","00","YAROWILCA"
"1062","10","11","01","CHAVINILLO"
"1063","10","11","02","CAHUAC"
"1064","10","11","03","CHACABAMBA"
"1065","10","11","04","APARICIO POMARES"
"1066","10","11","05","JACAS CHICO"
"1067","10","11","06","OBAS"
"1068","10","11","07","PAMPAMARCA"
"1069","10","11","08","CHORAS"
"1070","11","00","00","ICA"
"1071","11","01","00","ICA"
"1072","11","01","01","ICA"
"1073","11","01","02","LA TINGUI¿"
"1074","11","01","03","LOS AQUIJES"
"1075","11","01","04","OCUCAJE"
"1076","11","01","05","PACHACUTEC"
"1077","11","01","06","PARCONA"
"1078","11","01","07","PUEBLO NUEVO"
"1079","11","01","08","SALAS"
"1080","11","01","09","SAN JOSE DE LOS MOLINOS"
"1081","11","01","10","SAN JUAN BAUTISTA"
"1082","11","01","11","SANTIAGO"
"1083","11","01","12","SUBTANJALLA"
"1084","11","01","13","TATE"
"1085","11","01","14","YAUCA DEL ROSARIO"
"1086","11","02","00","CHINCHA"
"1087","11","02","01","CHINCHA ALTA"
"1088","11","02","02","ALTO LARAN"
"1089","11","02","03","CHAVIN"
"1090","11","02","04","CHINCHA BAJA"
"1091","11","02","05","EL CARMEN"
"1092","11","02","06","GROCIO PRADO"
"1093","11","02","07","PUEBLO NUEVO"
"1094","11","02","08","SAN JUAN DE YANAC"
"1095","11","02","09","SAN PEDRO DE HUACARPANA"
"1096","11","02","10","SUNAMPE"
"1097","11","02","11","TAMBO DE MORA"
"1098","11","03","00","NAZCA"
"1099","11","03","01","NAZCA"
"1100","11","03","02","CHANGUILLO"
"1101","11","03","03","EL INGENIO"
"1102","11","03","04","MARCONA"
"1103","11","03","05","VISTA ALEGRE"
"1104","11","04","00","PALPA"
"1105","11","04","01","PALPA"
"1106","11","04","02","LLIPATA"
"1107","11","04","03","RIO GRANDE"
"1108","11","04","04","SANTA CRUZ"
"1109","11","04","05","TIBILLO"
"1110","11","05","00","PISCO"
"1111","11","05","01","PISCO"
"1112","11","05","02","HUANCANO"
"1113","11","05","03","HUMAY"
"1114","11","05","04","INDEPENDENCIA"
"1115","11","05","05","PARACAS"
"1116","11","05","06","SAN ANDRES"
"1117","11","05","07","SAN CLEMENTE"
"1118","11","05","08","TUPAC AMARU INCA"
"1119","12","00","00","JUNIN"
"1120","12","01","00","HUANCAYO"
"1121","12","01","01","HUANCAYO"
"1122","12","01","04","CARHUACALLANGA"
"1123","12","01","05","CHACAPAMPA"
"1124","12","01","06","CHICCHE"
"1125","12","01","07","CHILCA"
"1126","12","01","08","CHONGOS ALTO"
"1127","12","01","11","CHUPURO"
"1128","12","01","12","COLCA"
"1129","12","01","13","CULLHUAS"
"1130","12","01","14","EL TAMBO"
"1131","12","01","16","HUACRAPUQUIO"
"1132","12","01","17","HUALHUAS"
"1133","12","01","19","HUANCAN"
"1134","12","01","20","HUASICANCHA"
"1135","12","01","21","HUAYUCACHI"
"1136","12","01","22","INGENIO"
"1137","12","01","24","PARIAHUANCA"
"1138","12","01","25","PILCOMAYO"
"1139","12","01","26","PUCARA"
"1140","12","01","27","QUICHUAY"
"1141","12","01","28","QUILCAS"
"1142","12","01","29","SAN AGUSTIN"
"1143","12","01","30","SAN JERONIMO DE TUNAN"
"1144","12","01","32","SA¿"
"1145","12","01","33","SAPALLANGA"
"1146","12","01","34","SICAYA"
"1147","12","01","35","SANTO DOMINGO DE ACOBAMBA"
"1148","12","01","36","VIQUES"
"1149","12","02","00","CONCEPCION"
"1150","12","02","01","CONCEPCION"
"1151","12","02","02","ACO"
"1152","12","02","03","ANDAMARCA"
"1153","12","02","04","CHAMBARA"
"1154","12","02","05","COCHAS"
"1155","12","02","06","COMAS"
"1156","12","02","07","HEROINAS TOLEDO"
"1157","12","02","08","MANZANARES"
"1158","12","02","09","MARISCAL CASTILLA"
"1159","12","02","10","MATAHUASI"
"1160","12","02","11","MITO"
"1161","12","02","12","NUEVE DE JULIO"
"1162","12","02","13","ORCOTUNA"
"1163","12","02","14","SAN JOSE DE QUERO"
"1164","12","02","15","SANTA ROSA DE OCOPA"
"1165","12","03","00","CHANCHAMAYO"
"1166","12","03","01","CHANCHAMAYO"
"1167","12","03","02","PERENE"
"1168","12","03","03","PICHANAQUI"
"1169","12","03","04","SAN LUIS DE SHUARO"
"1170","12","03","05","SAN RAMON"
"1171","12","03","06","VITOC"
"1172","12","04","00","JAUJA"
"1173","12","04","01","JAUJA"
"1174","12","04","02","ACOLLA"
"1175","12","04","03","APATA"
"1176","12","04","04","ATAURA"
"1177","12","04","05","CANCHAYLLO"
"1178","12","04","06","CURICACA"
"1179","12","04","07","EL MANTARO"
"1180","12","04","08","HUAMALI"
"1181","12","04","09","HUARIPAMPA"
"1182","12","04","10","HUERTAS"
"1183","12","04","11","JANJAILLO"
"1184","12","04","12","JULCAN"
"1185","12","04","13","LEONOR ORDO¿Z"
"1186","12","04","14","LLOCLLAPAMPA"
"1187","12","04","15","MARCO"
"1188","12","04","16","MASMA"
"1189","12","04","17","MASMA CHICCHE"
"1190","12","04","18","MOLINOS"
"1191","12","04","19","MONOBAMBA"
"1192","12","04","20","MUQUI"
"1193","12","04","21","MUQUIYAUYO"
"1194","12","04","22","PACA"
"1195","12","04","23","PACCHA"
"1196","12","04","24","PANCAN"
"1197","12","04","25","PARCO"
"1198","12","04","26","POMACANCHA"
"1199","12","04","27","RICRAN"
"1200","12","04","28","SAN LORENZO"
"1201","12","04","29","SAN PEDRO DE CHUNAN"
"1202","12","04","30","SAUSA"
"1203","12","04","31","SINCOS"
"1204","12","04","32","TUNAN MARCA"
"1205","12","04","33","YAULI"
"1206","12","04","34","YAUYOS"
"1207","12","05","00","JUNIN"
"1208","12","05","01","JUNIN"
"1209","12","05","02","CARHUAMAYO"
"1210","12","05","03","ONDORES"
"1211","12","05","04","ULCUMAYO"
"1212","12","06","00","SATIPO"
"1213","12","06","01","SATIPO"
"1214","12","06","02","COVIRIALI"
"1215","12","06","03","LLAYLLA"
"1216","12","06","04","MAZAMARI"
"1217","12","06","05","PAMPA HERMOSA"
"1218","12","06","06","PANGOA"
"1219","12","06","07","RIO NEGRO"
"1220","12","06","08","RIO TAMBO"
"1221","12","07","00","TARMA"
"1222","12","07","01","TARMA"
"1223","12","07","02","ACOBAMBA"
"1224","12","07","03","HUARICOLCA"
"1225","12","07","04","HUASAHUASI"
"1226","12","07","05","LA UNION"
"1227","12","07","06","PALCA"
"1228","12","07","07","PALCAMAYO"
"1229","12","07","08","SAN PEDRO DE CAJAS"
"1230","12","07","09","TAPO"
"1231","12","08","00","YAULI"
"1232","12","08","01","LA OROYA"
"1233","12","08","02","CHACAPALPA"
"1234","12","08","03","HUAY-HUAY"
"1235","12","08","04","MARCAPOMACOCHA"
"1236","12","08","05","MOROCOCHA"
"1237","12","08","06","PACCHA"
"1238","12","08","07","SANTA BARBARA DE CARHUACAYAN"
"1239","12","08","08","SANTA ROSA DE SACCO"
"1240","12","08","09","SUITUCANCHA"
"1241","12","08","10","YAULI"
"1242","12","09","00","CHUPACA"
"1243","12","09","01","CHUPACA"
"1244","12","09","02","AHUAC"
"1245","12","09","03","CHONGOS BAJO"
"1246","12","09","04","HUACHAC"
"1247","12","09","05","HUAMANCACA CHICO"
"1248","12","09","06","SAN JUAN DE ISCOS"
"1249","12","09","07","SAN JUAN DE JARPA"
"1250","12","09","08","TRES DE DICIEMBRE"
"1251","12","09","09","YANACANCHA"
"1252","13","00","00","LA LIBERTAD"
"1253","13","01","00","TRUJILLO"
"1254","13","01","01","TRUJILLO"
"1255","13","01","02","EL PORVENIR"
"1256","13","01","03","FLORENCIA DE MORA"
"1257","13","01","04","HUANCHACO"
"1258","13","01","05","LA ESPERANZA"
"1259","13","01","06","LAREDO"
"1260","13","01","07","MOCHE"
"1261","13","01","08","POROTO"
"1262","13","01","09","SALAVERRY"
"1263","13","01","10","SIMBAL"
"1264","13","01","11","VICTOR LARCO HERRERA"
"1265","13","02","00","ASCOPE"
"1266","13","02","01","ASCOPE"
"1267","13","02","02","CHICAMA"
"1268","13","02","03","CHOCOPE"
"1269","13","02","04","MAGDALENA DE CAO"
"1270","13","02","05","PAIJAN"
"1271","13","02","06","RAZURI"
